"URL","Article Title","Primary Keyword","Primary Search Intent","Secondary Keywords","Topic Cluster","Funnel Stage","Target Persona","Closest Competing Marksyte URL","Cannibalization Risk","Cannibalization Note","Differentiation","Recommendation","Recommendation Reason"
"/blog/reconcile-promotional-deductions-trade-spend-fmcg/","How to reconcile promotional deductions and trade spend in FMCG","how to reconcile promotional deductions and trade spend in FMCG","How-to","retailer deductions; trade spend reconciliation; promotional claims; trade terms; deduction management","Trade spend and promotional deductions","BOFU","Commercial Finance Manager / Sales Operations Manager","/blog/design-reusable-data-reconciliation-rules/","Low","Both use rule-based reconciliation, but this page owns the money side of trade terms rather than volume, stock or system matching","Owns promotional claims and deductions as a distinct financial reconciliation problem","KEEP + OPTIMIZE","retain as the trade-spend pillar and add a stronger commercial-finance service path"
"/blog/reconcile-retailer-returns-with-erp/","How to reconcile retailer returns with ERP data","how to reconcile retailer returns with ERP data","How-to","consumer returns; stock returns; credit notes; restated files; negative quantities","Retailer-to-ERP reconciliation","MOFU","Finance Manager / Sales Operations Manager","/blog/how-to-reconcile-retailer-sell-out-data-with-erp/","Low","This page is a return-event specialization inside the broader retailer-to-ERP process, with different event and sign rules","Owns the treatment of return types, credits and restatements rather than generic mismatch diagnosis","KEEP + OPTIMIZE","link from the main retailer-to-ERP pillar and clarify the event taxonomy in the opening section"
"/blog/retail-calendar-vs-financial-calendar-reconciliation/","Retail calendar vs financial calendar: reconciling reporting periods","retail calendar vs financial calendar reconciliation","How-to","4-5-4 calendar; 53rd week; period mapping; date bridge; financial close","Calendars and reporting periods","MOFU","Finance / FP&A Manager / BI Lead","/blog/retailer-erp-reporting-cutoff-differences/","Medium","Both address period-end timing differences; this page owns the reusable date-to-period bridge, while the other should remain the symptom-led cutoff diagnosis","Owns calendar transformation rules that make retail and financial periods comparable","KEEP + OPTIMIZE","make this the calendar pillar and link the cutoff article as a diagnostic companion"
"/blog/retail-data-integration-pos-erp/","What is retail data integration? Connecting POS, ERP and inventory","what is retail data integration","Definition","POS-to-ERP integration; inventory integration; event definitions; product and store mapping","Data integration, file standardization and validation","TOFU / MOFU","IT / Data Integration Lead","/blog/sell-out-mapping-product-location-period/","Low","This page defines the system and event boundary; the mapping page is a practical pre-join guide, not a definition of integration","Owns the top-of-funnel definition of retail integration as shared identities, events and controls","KEEP + OPTIMIZE","use as the integration pillar and add links to mapping, validation and the integration service"
"/blog/retail-data-reconciliation-excel-workflow/","Retail data reconciliation in Excel: a practical workflow","retail data reconciliation in Excel","How-to","POS reconciliation spreadsheet; workbook structure; Power Query; exception log; versioning","Reconciliation operating model, rules and automation","MOFU","Data Analyst / Sales Operations Analyst","/blog/fmcg-data-reconciliation-operating-model/","Low","This page owns the hands-on Excel implementation; the operating-model page owns governance and recurring process design","Owns the controlled manual workflow for teams still running reconciliation in Excel","KEEP + OPTIMIZE","keep it as the manual-workflow entry point and link forward to automation readiness"
"/blog/retail-pos-sales-audit/","What is a retail sales audit? POS checks before ERP reporting","what is a retail sales audit","Definition","POS audit; transaction checks; store-day controls; returns and tenders; ERP reporting","Data integration, file standardization and validation","TOFU / MOFU","Retail Operations Manager / Data Quality Lead","/blog/data-validation-retailer-distributor-files/","Low","The sales-audit page starts with POS transaction and control-total assurance; the validation page starts with partner-file intake and schema/business gates","Owns POS assurance before data is allowed into ERP, inventory or reporting","KEEP + OPTIMIZE","add the missing service and related-article links, especially to validation and reconciliation"
"/blog/retailer-erp-reporting-cutoff-differences/","Reporting cutoffs in retailer and ERP reconciliation","why retailer and ERP sales land in different periods","Problem diagnosis","reporting cutoff; retail weeks; invoice dates; close calendar; timing variance","Calendars and reporting periods","TOFU / MOFU","Finance / FP&A Manager / BI Lead","/blog/retail-calendar-vs-financial-calendar-reconciliation/","Medium","The H1 and meta intent are symptom-led, but the page overlaps the calendar guide on period-boundary reconciliation; its job should be explicitly diagnostic","Owns the explanation of why two correct systems place the same event in different periods","REPOSITION","align the title/H1 around the diagnostic job and link the procedural calendar bridge as the next step"
"/blog/secondary-sales-data-fmcg/","What is secondary sales data in FMCG?","what is secondary sales data in FMCG","Definition","distributor sales; primary sales; sell-out; channel events; data model","Sell-in, sell-out and inventory flow","TOFU","Sales Operations Manager / Commercial Excellence Manager","/blog/distributor-sales-not-match-retailer-sell-out/","Low","This page defines the event and boundary; the distributor-gap page diagnoses a specific mismatch after the terms are understood","Owns the meaning and limits of secondary sales data before it is used in reporting","KEEP + OPTIMIZE","use it as the definition entry point and route readers to distributor consolidation and reconciliation"
"/blog/sell-in-vs-sell-out-fmcg-reconciliation/","Sell-in vs sell-out in FMCG: how to reconcile the numbers","how to reconcile sell-in and sell-out in FMCG","Comparison / How-to","sell-in versus sell-out; channel stock; inventory bridge; timing; returns","Sell-in, sell-out and inventory flow","MOFU","Sales Operations Manager / Finance Manager","/blog/distributor-sales-not-match-retailer-sell-out/","Medium","The broad pillar and the distributor-specific diagnostic share the same underlying divergence; this page must own the general method and the other page the narrower “why” case","Owns the general conceptual and procedural bridge between shipment-side and consumer-demand events","KEEP + OPTIMIZE","make this the sell-in/sell-out pillar and link the distributor, POS and returns specialists into it"
"/blog/sell-out-mapping-product-location-period/","Retailer sell-out data mapping: align SKU, store and period data","retailer sell-out data mapping","How-to","SKU mapping; store mapping; retailer codes; period mapping; grain; ERP reconciliation","Product identity and sell-out mapping","MOFU","Data Integration Lead / BI Analyst","/blog/sku-ean-gtin-mapping-fmcg/","Medium","Both cover mapping before reconciliation; this page should own the combined SKU-store-period pre-join workflow, while the SKU page owns product identity and code governance","Owns the minimum mapping layer needed before retailer sell-out can be compared across systems","REPOSITION","make the pre-join scope explicit, avoid repeating identifier definitions and link to the SKU pillar"
"/blog/sell-through-rate-retail-data/","What is sell-through rate in retail? Formula, data and limits","sell-through rate formula retail data","Definition","sell-through formula; inventory denominator; units sold; stock availability; retail KPI","Retail performance metrics and cross-market comparability","TOFU / MOFU","Category Manager / Supply Chain Manager","/blog/inventory-data-not-match-physical-stock/","Low","This page defines a performance KPI and its denominator; the inventory page diagnoses record accuracy, not sell-through interpretation","Owns the definition, denominator and data caveats for sell-through reporting","KEEP + OPTIMIZE","link to inventory and dataset controls without turning it into a reconciliation guide"
"/blog/sku-ean-gtin-mapping-fmcg/","SKU-to-EAN and GTIN mapping for FMCG teams","SKU to EAN and GTIN mapping","How-to","product master data; retailer codes; GTIN mapping; pack hierarchy; effective dating","Product identity and sell-out mapping","MOFU / BOFU","Master Data Manager / BI Lead","/blog/why-sku-mapping-fails-international/","Medium","Both address SKU mapping failure, but this page should own the canonical identifier model and governance while the competing page owns cross-border failure diagnosis","Owns the canonical product-identity mapping model across SKUs, retailer codes, EANs, GTINs, packs and markets","KEEP + OPTIMIZE","treat as the product-mapping pillar and link every SKU exception page into it"
"/blog/standardize-retailer-distributor-excel-files/","How to standardize retailer and distributor Excel files","how to standardize retailer and distributor Excel files","How-to","canonical schema; file standardization; source lineage; partner templates; data types and units","Data integration, file standardization and validation","MOFU","Data Operations Manager / BI Analyst","/blog/consolidate-sell-out-data-multiple-distributors/","Low","Standardization prepares each source; consolidation combines standardized sources, so the workflow stages are adjacent but not interchangeable","Owns the intake transformation from variable partner files to a canonical structure with lineage","KEEP + OPTIMIZE","make the stage boundary explicit and link to consolidation, validation and the standardization service"
"/blog/when-to-automate-retailer-data-reconciliation/","When to automate retailer data reconciliation","when to automate retailer data reconciliation","Commercial investigation","reconciliation automation; automation readiness; workflow automation; human review; pilot","Reconciliation operating model, rules and automation","BOFU","Operations Director / IT Integration Lead","/blog/retail-data-reconciliation-excel-workflow/","Low","The Excel page explains how to run a controlled manual process; this page decides whether and what to automate after process readiness is assessed","Owns the automation-readiness decision and the division between stable rules and human exceptions","KEEP + OPTIMIZE","make the BOFU path explicit from Excel and operating-model pages to managed data operations"
"/blog/why-retailer-sales-data-does-not-match-erp/","Why retailer sales data does not match your ERP","why retailer sales data does not match ERP","Problem diagnosis","retailer data discrepancy; POS mismatch; ERP variance; root cause; data-quality issue","Retailer-to-ERP reconciliation","TOFU / MOFU","Finance Manager / Commercial Operations Manager","/blog/how-to-reconcile-retailer-sell-out-data-with-erp/","Medium","Both target the same retailer-versus-ERP problem; this page must stop at cause isolation and escalation, while the how-to page owns the full procedure and worked reconciliation","Owns the cause tree for explaining a retailer-to-ERP variance before changing a number","KEEP + OPTIMIZE","preserve as the diagnostic entry point and make the handoff to the procedural pillar unmistakable"
"/blog/why-sku-mapping-fails-international/","Why SKU mapping fails across countries and systems","why SKU mapping fails across countries and systems","Problem diagnosis","cross-border SKU mapping; local product codes; pack conflicts; lifecycle drift; false matches","Product identity and sell-out mapping","TOFU / MOFU","Master Data Manager / Data Integration Lead","/blog/sku-ean-gtin-mapping-fmcg/","Medium","Both can rank for SKU mapping problems; this page owns international failure modes and when not to force a match, while the pillar owns the target mapping model","Owns diagnosis of cross-market mapping failure and the decision not to force ambiguous identities","KEEP + OPTIMIZE","retain as the diagnostic companion to the product-mapping pillar"
